code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
ORD;KORD;America/Chicago;-6;-6;-5;Chicago O'Hare International Airport;1
IST;LTFM;Europe/Istanbul;3;3;3;Istanbul Airport;2
ATL;KATL;America/New_York;-5;-5;-4;Hartsfield-Jackson Atlanta International Airport;3
LAX;KLAX;America/Los_Angeles;-8;-8;-7;Los Angeles International Airport;4
PVG;ZSPD;Asia/Shanghai;8;8;8;Shanghai Pudong International Airport;5
CDG;LFPG;Europe/Paris;1;1;2;Paris Charles de Gaulle Airport;6
AMS;EHAM;Europe/Amsterdam;1;1;2;Amsterdam Airport Schiphol;7
FRA;EDDF;Europe/Berlin;1;1;2;Frankfurt Airport;8
DFW;KDFW;America/Chicago;-6;-6;-5;Dallas/Fort Worth International Airport;9
LHR;EGLL;Europe/London;0;0;1;London Heathrow Airport;10
JFK;KJFK;America/New_York;-5;-5;-4;John F. Kennedy International Airport;11
DXB;OMDB;Asia/Dubai;4;4;4;Dubai International Airport;12
MAD;LEMD;Europe/Madrid;1;1;2;Adolfo Suárez Madrid–Barajas Airport;13
MIA;KMIA;America/New_York;-5;-5;-4;Miami International Airport;14
AYT;LTAI;Europe/Istanbul;3;3;3;Antalya Airport;15
BOS;KBOS;America/New_York;-5;-5;-4;Logan International Airport;16
HND;RJTT;Asia/Tokyo;9;9;9;Tokyo International Airport;17
BCN;LEBL;Europe/Madrid;1;1;2;Josep Tarradellas Barcelona–El Prat Airport;18
EWR;KEWR;America/New_York;-5;-5;-4;Newark Liberty International Airport;19
DEN;KDEN;America/Denver;-7;-7;-6;Denver International Airport;20
HKG;VHHH;Asia/Hong_Kong;8;8;8;Hong Kong International Airport;21
YYZ;CYYZ;America/Toronto;-5;-5;-4;Toronto Pearson International Airport;22
PMI;LEPA;Europe/Madrid;1;1;2;Palma de Mallorca Airport;23
FCO;LIRF;Europe/Rome;1;1;2;Leonardo da Vinci–Fiumicino Airport;24
SFO;KSFO;America/Los_Angeles;-8;-8;-7;San Francisco International Airport;25
KUL;WMKK;Asia/Kuala_Lumpur;8;8;8;Kuala Lumpur International Airport;26
MUC;EDDM;Europe/Berlin;1;1;2;Munich International Airport;27
BKK;VTBS;Asia/Bangkok;7;7;7;Suvarnabhumi Airport;28
SIN;WSSS;Asia/Singapore;8;8;8;Singapore Changi Airport;29
ATH;LGAV;Europe/Athens;2;2;3;Athens Eleftherios Venizelos International Airport;30
BOG;SKBO;America/Bogota;-5;-5;-5;El Dorado International Airport;31
PEK;ZBAA;Asia/Shanghai;8;8;8;Beijing Capital International Airport;32
SEA;KSEA;America/Los_Angeles;-8;-8;-7;Seattle-Tacoma International Airport;33
CGK;WIII;Asia/Jakarta;7;7;7;Soekarno-Hatta International Airport;34
SYD;YSSY;Australia/Sydney;11;10;10;Sydney International Airport;35
CLT;KCLT;America/New_York;-5;-5;-4;Charlotte Douglas International Airport;36
MCO;KMCO;America/New_York;-5;-5;-4;Orlando International Airport;37
LGW;EGKK;Europe/London;0;0;1;London Gatwick Airport;38
DUB;EIDW;Europe/Dublin;0;0;1;Dublin Airport;39
VIE;LOWW;Europe/Vienna;1;1;2;Vienna International Airport;40
ZRH;LSZH;Europe/Zurich;1;1;2;Zurich Airport;41
SAW;LTFJ;Europe/Istanbul;3;3;3;Sabiha Gökçen International Airport;42
MNL;RPLL;Asia/Manila;8;8;8;Ninoy Aquino Manila International Airport;43
IAH;KIAH;America/Chicago;-6;-6;-5;George Bush Intercontinental Airport;44
DOH;OTHH;Asia/Qatar;3;3;3;Hamad International Airport;45
GRU;SBGR;America/Sao_Paulo;-3;-3;-3;São Paulo–Guarulhos International Airport;46
MEX;MMMX;America/Mexico_City;-6;-6;-6;Benito Juárez International Airport;47
IAD;KIAD;America/New_York;-5;-5;-4;Washington Dulles International Airport;48
DEL;VIDP;Asia/Kolkata;5,5;5,5;5,5;Indira Gandhi International Airport;49
CPH;EKCH;Europe/Copenhagen;1;1;2;Copenhagen Airport;50
CAN;ZGGG;Asia/Shanghai;8;8;8;Guangzhou Baiyun International Airport;51
MXP;LIMC;Europe/Rome;1;1;2;Milano Malpensa Airport;52
LAS;KLAS;America/Los_Angeles;-8;-8;-7;McCarran International Airport;53
ORY;LFPO;Europe/Paris;1;1;2;Paris Orly Airport;54
LIS;LPPT;Europe/Lisbon;0;0;1;Lisbon Humberto Delgado Airport;55
MEL;YMML;Australia/Melbourne;11;10;10;Melbourne Airport;56
LGA;KLGA;America/New_York;-5;-5;-4;La Guardia Airport;57
MSP;KMSP;America/Chicago;-6;-6;-5;Minneapolis-St Paul International Airport;58
TPE;RCTP;Asia/Taipei;8;8;8;Taiwan Taoyuan International Airport;59
JED;OEJN;Asia/Riyadh;3;3;3;Jeddah King Abdul Aziz International Airport;60
MAN;EGCC;Europe/London;0;0;1;Manchester Airport;61
STN;EGSS;Europe/London;0;0;1;London Stansted Airport;62
OSL;ENGM;Europe/Oslo;1;1;2;Oslo Airport, Gardermoen;63
PHX;KPHX;America/Phoenix;-7;-7;-7;Phoenix Sky Harbor International Airport;64
NCE;LFMN;Europe/Paris;1;1;2;Nice Côte d'Azur International Airport;65
SVO;UUEE;Europe/Moscow;3;3;3;Sheremetyevo International Airport;66
BRU;EBBR;Europe/Brussels;1;1;2;Brussels Airport;67
AGP;LEMG;Europe/Madrid;1;1;2;Málaga Airport;68
RUH;OERK;Asia/Riyadh;3;3;3;King Khalid International;69
WAW;EPWA;Europe/Warsaw;1;1;2;Warsaw Chopin Airport;70
SZX;ZGSZ;Asia/Shanghai;8;8;8;Shenzhen Bao'an International Airport;71
CAI;HECA;Africa/Cairo;2;2;3;Cairo International Airport;72
PHL;KPHL;America/New_York;-5;-5;-4;Philadelphia International Airport;73
BNE;YBBN;Australia/Brisbane;10;10;10;Brisbane Airport;74
YUL;CYUL;America/Toronto;-5;-5;-4;Montréal-Pierre Elliott Trudeau International Airport;75
DTW;KDTW;America/Detroit;-5;-5;-4;Detroit Metropolitan Wayne County Airport;76
ARN;ESSA;Europe/Stockholm;1;1;2;Stockholm Arlanda Airport;77
BER;EDDB;Europe/Berlin;1;1;2;Berlin Brandenburg Airport;78
BOM;VABB;Asia/Kolkata;5,5;5,5;5,5;Chhatrapati Shivaji Maharaj International Airport;79
NRT;RJAA;Asia/Tokyo;9;9;9;Narita International Airport;80
DUS;EDDL;Europe/Berlin;1;1;2;Düsseldorf International Airport;81
LIM;SPJC;America/Lima;-5;-5;-5;Jorge Chávez International Airport;82
CUN;MMUN;America/Cancun;-5;-5;-5;Cancún International Airport;83
LPA;GCLP;Atlantic/Canary;0;0;1;Gran Canaria Airport;84
AUH;OMAA;Asia/Dubai;4;4;4;Abu Dhabi International Airport;85
DCA;KDCA;America/New_York;-5;-5;-4;Ronald Reagan Washington National Airport;86
YVR;CYVR;America/Vancouver;-8;-8;-7;Vancouver International Airport;87
BNA;KBNA;America/Chicago;-6;-6;-5;Nashville International Airport;88
TLV;LLBG;Asia/Jerusalem;2;2;3;Ben Gurion Airport;89
KIX;RJBB;Asia/Tokyo;9;9;9;Kansai International Airport;90
TPA;KTPA;America/New_York;-5;-5;-4;Tampa International Airport;91
GVA;LSGG;Europe/Zurich;1;1;2;Aéroport Genève-Cointrin;92
BUD;LHBP;Europe/Budapest;1;1;2;Budapest Ferenc Liszt International Airport;93
BWI;KBWI;America/New_York;-5;-5;-4;Baltimore-Washington International Airport;94
JNB;FAOR;Africa/Johannesburg;2;2;2;O.R. Tambo International Airport;95
HEL;EFHK;Europe/Helsinki;2;2;3;Helsinki-Vantaa Airport;96
DPS;WADD;Asia/Makassar;8;8;8;Ngurah Rai International Airport;97
PER;YPPH;Australia/Perth;8;8;8;Perth Airport;98
LED;ULLI;Europe/Moscow;3;3;3;Pulkovo Airport;99
ALC;LEAL;Europe/Madrid;1;1;2;Alicante–Elche Airport;100
CGN;EDDK;Europe/Berlin;1;1;2;Cologne Bonn Airport;101
IBZ;LEIB;Europe/Madrid;1;1;2;Ibiza Airport;102
EDI;EGPH;Europe/London;0;0;1;Edinburgh Airport;103
ADD;HAAB;Africa/Addis_Ababa;3;3;3;Addis Ababa Bole International Airport;104
VKO;UUWW;Europe/Moscow;3;3;3;Vnukovo International Airport;105
PTY;MPTO;America/Panama;-5;-5;-5;Tocumen International Airport;106
OTP;LROP;Europe/Bucharest;2;2;3;Henri Coand? International Airport;107
FLL;KFLL;America/New_York;-5;-5;-4;Fort Lauderdale–Hollywood International Airport;108
LTN;EGGW;Europe/London;0;0;1;Luton Airport;109
SCL;SCEL;America/Santiago;-3;-4;-4;Comodoro Arturo Merino Benítez International Airport;110
HAM;EDDH;Europe/Berlin;1;1;2;Hamburg Airport;111
SLC;KSLC;America/Denver;-7;-7;-6;Salt Lake City International Airport;112
HER;LGIR;Europe/Athens;2;2;3;Heraklion International Airport;113
YYC;CYYC;America/Edmonton;-7;-7;-6;Calgary International Airport;114
OPO;LPPR;Europe/Lisbon;0;0;1;Francisco de Sá Carneiro Airport;115
DMK;VTBD;Asia/Bangkok;7;7;7;Don Mueang International Airport;116
SAN;KSAN;America/Los_Angeles;-8;-8;-7;San Diego International Airport;117
LIN;LIML;Europe/Rome;1;1;2;Milano Linate Airport;118
PDX;KPDX;America/Los_Angeles;-8;-8;-7;Portland International Airport;119
HNL;PHNL;Pacific/Honolulu;-10;-10;-10;Daniel K. Inouye International Airport;120
BGY;LIME;Europe/Rome;1;1;2;Il Caravaggio International Airport;121
ANC;PANC;America/Anchorage;-9;-9;-8;Anchorage International Airport;122
RDU;KRDU;America/New_York;-5;-5;-4;Raleigh-Durham International Airport;123
MRS;LFML;Europe/Paris;1;1;2;Marseille Provence Airport;124
KWI;OKKK;Asia/Kuwait;3;3;3;Kuwait International Airport;125
AKL;NZAA;Pacific/Auckland;13;12;12;Auckland International Airport;126
BHX;EGBB;Europe/London;0;0;1;Birmingham Airport;127
NAP;LIRN;Europe/Rome;1;1;2;Naples International Airport;128
SJO;MROC;America/Costa_Rica;-6;-6;-6;Juan Santamaría International Airport;129
TFU;ZUTF;Asia/Shanghai;8;8;8;Chengdu Tianfu International Airport;130
BLR;VOBL;Asia/Kolkata;5,5;5,5;5,5;Kempegowda International Airport;131
NBO;HKJK;Africa/Nairobi;3;3;3;Jomo Kenyatta International Airport;132
SHJ;OMSJ;Asia/Dubai;4;4;4;Sharjah International Airport;133
AEP;SABE;America/Argentina/Buenos_Aires;-3;-3;-3;Jorge Newbery Airport;134
KRK;EPKK;Europe/Warsaw;1;1;2;John Paul II International Airport Kraków–Balice;135
GIG;SBGL;America/Sao_Paulo;-3;-3;-3;Rio de Janeiro-Galeão International Airport;136
BEG;LYBE;Europe/Belgrade;1;1;2;Belgrade Nikola Tesla Airport;137
AUS;KAUS;America/Chicago;-6;-6;-5;Austin-Bergstrom International Airport;138
TFN;GCXO;Atlantic/Canary;0;0;1;Tenerife North Airport;139
OLB;LIEO;Europe/Rome;1;1;2;Olbia - Costa Smeralda Airport;140
ZNZ;HTZA;Africa/Dar_es_Salaam;3;3;3;Abeid Amani Karume International Airport;141
CTA;LICC;Europe/Rome;1;1;2;Catania–Fontanarossa Airport;142
ESB;LTAC;Europe/Istanbul;3;3;3;Ankara Esenbo?a International Airport;143
LCA;LCLK;Asia/Nicosia;2;2;3;Larnaca International Airport;144
STR;EDDS;Europe/Berlin;1;1;2;Stuttgart Airport;145
SJU;TJSJ;America/Puerto_Rico;-4;-4;-4;Luis Muñoz Marín International Airport;146
FAO;LPFR;Europe/Lisbon;0;0;1;Faro Airport;147
RHO;LGRP;Europe/Athens;2;2;3;Rhodes International Airport;148
CMN;GMMN;Africa/Casablanca;1;0;1;Mohammed V International Airport;149
ADB;LTBJ;Europe/Istanbul;3;3;3;?zmir Adnan Menderes International Airport;150
MDW;KMDW;America/Chicago;-6;-6;-5;Chicago Midway International Airport;151
ACE;GCRR;Atlantic/Canary;0;0;1;Lanzarote Airport;152
LYS;LFLL;Europe/Paris;1;1;2;Lyon–Saint Exupéry Airport;153
VCE;LIPZ;Europe/Rome;1;1;2;Venice Marco Polo Airport;154
MDE;SKRG;America/Bogota;-5;-5;-5;José María Córdova International Airport;155
GDL;MMGL;America/Mexico_City;-6;-6;-6;Guadalajara International Airport;156
GYD;UBBB;Asia/Baku;4;4;4;Heydar Aliyev International Airport;157
BLQ;LIPE;Europe/Rome;1;1;2;Bologna Guglielmo Marconi Airport;158
VLC;LEVC;Europe/Madrid;1;1;2;Valencia Airport;159
TIA;LATI;Europe/Tirane;1;1;2;Tirana International Airport Nënë Tereza;160
ADL;YPAD;Australia/Adelaide;10,5;9,5;9,5;Adelaide Airport;161
KEF;BIKF;Atlantic/Reykjavik;0;0;0;Keflavík International Airport;162
ALG;DAAG;Africa/Algiers;1;1;1;Algiers Houari Boumediene Airport;163
MTY;MMMY;America/Monterrey;-6;-6;-6;General Mariano Escobedo International Airport;164
MCT;OOMS;Asia/Muscat;4;4;4;Muscat International Airport;165
HKT;VTSP;Asia/Bangkok;7;7;7;Phuket International Airport;166
BRS;EGGD;Europe/London;0;0;1;Bristol Airport;167
AMM;OJAI;Asia/Amman;3;3;3;Queen Alia International Airport;168
KTM;VNKT;Asia/Kathmandu;5,75;5,75;5,75;Tribhuvan International Airport;169
CKG;ZUCK;Asia/Shanghai;8;8;8;Chongqing Jiangbei International Airport;170
IND;KIND;America/Indiana/Indianapolis;-5;-5;-4;Indianapolis International Airport;171
HGH;ZSHC;Asia/Shanghai;8;8;8;Hangzhou Xiaoshan International Airport;172
ALA;UAAA;Asia/Almaty;5;5;5;Almaty International Airport;173
DMM;OEDF;Asia/Riyadh;3;3;3;King Fahd International Airport;174
BSL;LFSB;Europe/Paris;1;1;2;EuroAirport Basel–Mulhouse–Freiburg;175
DAC;VGHS;Asia/Dhaka;6;6;6;Shahjalal International Airport;176
PMO;LICJ;Europe/Rome;1;1;2;Falcone-Borsellino Airport;177
CLE;KCLE;America/New_York;-5;-5;-4;Cleveland-Hopkins International Airport;178
PKX;ZBAD;Asia/Shanghai;8;8;8;Beijing Daxing International Airport;179
CVG;KCVG;America/New_York;-5;-5;-4;Cincinnati/Northern Kentucky International Airport;180
FUK;RJFF;Asia/Tokyo;9;9;9;Fukuoka Airport;181
GLA;EGPF;Europe/London;0;0;1;Glasgow Airport;182
AER;URSS;Europe/Moscow;3;3;3;Sochi International Airport;183
MLA;LMML;Europe/Malta;1;1;2;Malta International Airport;184
SMF;KSMF;America/Los_Angeles;-8;-8;-7;Sacramento International Airport;185
LEJ;EDDP;Europe/Berlin;1;1;2;Leipzig-Halle Airport;186
TFS;GCTS;Atlantic/Canary;0;0;1;Tenerife South Airport;187
SKG;LGTS;Europe/Athens;2;2;3;Thessaloniki Airport;188
TUN;DTTA;Africa/Tunis;1;1;1;Tunis-Carthage Airport;189
STL;KSTL;America/Chicago;-6;-6;-5;Lambert–St. Louis International Airport;190
MCI;KMCI;America/Chicago;-6;-6;-5;Kansas City International Airport;191
LUX;ELLX;Europe/Luxembourg;1;1;2;Luxembourg Findel Airport;192
CEB;RPVM;Asia/Manila;8;8;8;Mactan-Cebu International Airport;193
CRL;EBCI;Europe/Brussels;1;1;2;Brussels South Charleroi Airport;194
MEM;KMEM;America/Chicago;-6;-6;-5;Memphis International Airport;195
DAR;HTDA;Africa/Dar_es_Salaam;3;3;3;Julius Nyerere International Airport;196
PIT;KPIT;America/New_York;-5;-5;-4;Pittsburgh International Airport;197
DAL;KDAL;America/Chicago;-6;-6;-5;Dallas Love Field;198
XIY;ZLXY;Asia/Shanghai;8;8;8;Xi'an Xianyang International Airport;199
BAH;OBBI;Asia/Bahrain;3;3;3;Bahrain International Airport;200
SDF;KSDF;America/Kentucky/Louisville;-5;-5;-4;Louisville International Airport;201
CFU;;;;;;;202
SOF;LBSF;Europe/Sofia;2;2;3;Sofia Airport;203
SJC;KSJC;America/Los_Angeles;-8;-8;-7;Norman Y. Mineta San José International Airport;204
CTS;RJCC;Asia/Tokyo;9;9;9;New Chitose Airport;205
CPT;FACT;Africa/Johannesburg;2;2;2;Cape Town International Airport;206
FUE;GCFV;Atlantic/Canary;0;0;1;Fuerteventura Airport;207
HRG;HEGN;Africa/Cairo;2;2;3;Hurghada International Airport;208
EZE;SAEZ;America/Argentina/Buenos_Aires;-3;-3;-3;Buenos Aires - Ministro Pistarini International Airport;209
KTW;EPKT;Europe/Warsaw;1;1;2;Katowice International Airport;210
HYD;VOHS;Asia/Kolkata;5,5;5,5;5,5;Rajiv Gandhi International Airport;211
CGH;SBSP;America/Sao_Paulo;-3;-3;-3;Congonhas-São Paulo Airport;212
MAA;VOMM;Asia/Kolkata;5,5;5,5;5,5;Chennai International Airport;213
XMN;ZSAM;Asia/Shanghai;8;8;8;Xiamen Gaoqi International Airport;214
PUJ;MDPC;America/Santo_Domingo;-4;-4;-4;Punta Cana International Airport;215
TAS;UTTT;Asia/Tashkent;5;5;5;Tashkent International Airport;216
BEY;OLBA;Asia/Beirut;2;2;3;Beirut International Airport;217
SUB;WARR;Asia/Jakarta;7;7;7;Juanda International Airport;218
BRI;LIBD;Europe/Rome;1;1;2;Bari Karol Wojty?a Airport;219
RIX;EVRA;Europe/Riga;2;2;3;Riga International Airport;220
BGO;ENBR;Europe/Oslo;1;1;2;Bergen / Flesland;221
SPU;LDSP;Europe/Zagreb;1;1;2;Split Airport;222
DME;UUDD;Europe/Moscow;3;3;3;Domodedovo International Airport;223
DLM;LTBS;Europe/Istanbul;3;3;3;Dalaman Airport;224
GDN;EPGD;Europe/Warsaw;1;1;2;Gda?sk Lech Wa??sa Airport;225
NQZ;UACC;Asia/Almaty;5;5;5;Astana Nursultan Nazarbayev International Airport;226
CMH;KCMH;America/New_York;-5;-5;-4;John Glenn Columbus International Airport;227
SHE;ZYTX;Asia/Shanghai;8;8;8;Shenyang Taoxian International Airport;228
SNA;KSNA;America/Los_Angeles;-8;-8;-7;John Wayne Airport-Orange County;229
MSY;KMSY;America/Chicago;-6;-6;-5;Louis Armstrong New Orleans International Airport;230
CAG;LIEE;Europe/Rome;1;1;2;Cagliari Elmas Airport;231
SHA;ZSSS;Asia/Shanghai;8;8;8;Shanghai Hongqiao International Airport;232
LOS;DNMM;Africa/Lagos;1;1;1;Murtala Mohammed International Airport;233
CMB;VCBI;Asia/Colombo;5,5;5,5;5,5;Bandaranaike International Airport;234
MAH;LEMH;Europe/Madrid;1;1;2;Menorca Airport;235
EMA;EGNX;Europe/London;0;0;1;East Midlands Airport;236
BJV;LTFE;Europe/Istanbul;3;3;3;Bodrum Milas Airport;237
OKA;ROAH;Asia/Tokyo;9;9;9;Naha Airport;238
PSA;LIRP;Europe/Rome;1;1;2;Pisa International Airport;239
TLS;LFBO;Europe/Paris;1;1;2;Toulouse-Blagnac Airport;240
CHS;KCHS;America/New_York;-5;-5;-4;Charleston International Airport;241
ARK;HTAR;Africa/Dar_es_Salaam;3;3;3;Arusha Airport;242
HAJ;EDDV;Europe/Berlin;1;1;2;Hannover-Langenhagen Airport;243
BFS;EGAA;Europe/London;0;0;1;Belfast International Airport;244
HOU;KHOU;America/Chicago;-6;-6;-5;William P Hobby Airport;245
NTE;LFRS;Europe/Paris;1;1;2;Nantes Atlantique Airport;246
SVQ;LEZL;Europe/Madrid;1;1;2;Seville San Pablo Airport;247
KMG;ZPPP;Asia/Shanghai;8;8;8;Kunming Changshui International Airport;248
YOW;CYOW;America/Toronto;-5;-5;-4;Ottawa Macdonald-Cartier International Airport;249
CTU;ZUUU;Asia/Shanghai;8;8;8;Chengdu Shuangliu International Airport;250
BSB;SBBR;America/Sao_Paulo;-3;-3;-3;Brasilia International Airport;251
MLE;VRMM;Indian/Maldives;5;5;5;Velana International Airport;252
WRO;EPWR;Europe/Warsaw;1;1;2;Wroc?aw–Copernicus Airport;253
NKG;ZSNJ;Asia/Shanghai;8;8;8;Nanjing Lukou International Airport;254
CNS;YBCS;Australia/Brisbane;10;10;10;Cairns International Airport;255
RAK;GMMX;Africa/Casablanca;1;0;1;Marrakesh Menara Airport;256
SDQ;MDSD;America/Santo_Domingo;-4;-4;-4;Las Américas International Airport;257
GOT;ESGG;Europe/Stockholm;1;1;2;Gothenburg-Landvetter Airport;258
ZAG;LDZA;Europe/Zagreb;1;1;2;Zagreb Franjo Tu?man Airport;259
TBS;UGTB;Asia/Tbilisi;4;4;4;Tbilisi International Airport;260
TIJ;MMTJ;America/Tijuana;-8;-8;-7;General Abelardo L. Rodríguez International Airport;261
YHZ;CYHZ;America/Halifax;-4;-4;-3;Halifax Stanfield International Airport;262
CGO;ZHCC;Asia/Shanghai;8;8;8;Zhengzhou Xinzheng International Airport;263
SVX;USSS;Asia/Yekaterinburg;5;5;5;Ekaterinburg Koltsovo Airport;264
EVN;UDYZ;Asia/Yerevan;4;4;4;Zvartnots International Airport;265
SAL;MSLP;America/El_Salvador;-6;-6;-6;Aeropuerto Internacional El Salvador;266
RMO;LUKK;Europe/Chisinau;2;2;3;Chi?in?u International Airport;267
BOD;LFBD;Europe/Paris;1;1;2;Bordeaux–Mérignac Airport;268
CHQ;LGSA;Europe/Athens;2;2;3;Chania International Airport;269
PEN;WMKP;Asia/Kuala_Lumpur;8;8;8;Penang International Airport;270
DBV;LDDU;Europe/Zagreb;1;1;2;Dubrovnik Airport;271
SAT;KSAT;America/Chicago;-6;-6;-5;San Antonio International Airport;272
UPG;WAAA;Asia/Makassar;8;8;8;Sultan Hasanuddin International Airport;273
YEG;CYEG;America/Edmonton;-7;-7;-6;Edmonton International Airport;274
BIO;LEBB;Europe/Madrid;1;1;2;Bilbao Airport;275
MKE;KMKE;America/Chicago;-6;-6;-5;General Mitchell International Airport;276
TAO;ZSQD;Asia/Shanghai;8;8;8;Qingdao Liuting International Airport;277
SSH;HESH;Africa/Cairo;2;2;3;Sharm el-Sheikh International Airport;278
NUE;EDDN;Europe/Berlin;1;1;2;Nuremberg Airport;279
FLR;LIRQ;Europe/Rome;1;1;2;Florence Peretola Airport;280
NCL;EGNT;Europe/London;0;0;1;Newcastle International Airport;281
CNX;VTCC;Asia/Bangkok;7;7;7;Chiang Mai International Airport;282
OVB;UNNT;Asia/Novosibirsk;7;7;7;Tolmachevo Airport;283
CLO;SKCL;America/Bogota;-5;-5;-5;Cali / Alfonso Bonillaaragon;284
COK;VOCI;Asia/Kolkata;5,5;5,5;5,5;Cochin International Airport;285
UIO;SEQM;America/Guayaquil;-5;-5;-5;Mariscal Sucre International Airport;286
IKA;OIIE;Asia/Tehran;3,5;3,5;3,5;Tehran Imam Khomeini International Airport;287
LPL;EGGP;Europe/London;0;0;1;Liverpool Airport;288
LBA;EGNM;Europe/London;0;0;1;Leeds Bradford International Airport;289
BVA;LFOB;Europe/Paris;1;1;2;Beauvais–Tillé Airport;290
CTG;SKCG;America/Bogota;-5;-5;-5;Rafael Núñez International Airport;291
KGS;LGKO;Europe/Athens;2;2;3;Kos Airport;292
OGG;PHOG;Pacific/Honolulu;-10;-10;-10;Kahului Airport;293
LCY;EGLC;Europe/London;0;0;1;London City Airport;294
EIN;EHEH;Europe/Amsterdam;1;1;2;Eindhoven Airport;295
PBI;KPBI;America/New_York;-5;-5;-4;Palm Beach International Airport;296
OOL;YBCG;Australia/Brisbane;10;10;10;Gold Coast Airport;297
RIC;KRIC;America/New_York;-5;-5;-4;Richmond International Airport;298
LGG;EBLG;Europe/Brussels;1;1;2;Liège Airport;299
CHC;NZCH;Pacific/Auckland;13;12;12;Christchurch International Airport;300
ACC;DGAA;Africa/Accra;0;0;0;Kotoka International Airport;301
DRW;YPDN;Australia/Darwin;9,5;9,5;9,5;Darwin International Airport;302
CCS;SVMI;America/Caracas;-4;-4;-4;Simón Bolívar International Airport;303
CUR;TNCC;America/Curacao;-4;-4;-4;Hato International Airport;304
VNO;EYVI;Europe/Vilnius;2;2;3;Vilnius International Airport;305
POZ;EPPO;Europe/Warsaw;1;1;2;Pozna?-?awica Airport;306
JAX;KJAX;America/New_York;-5;-5;-4;Jacksonville International Airport;307
GUA;MGGT;America/Guatemala;-6;-6;-6;La Aurora International Airport;308
KGD;UMKK;Europe/Kaliningrad;2;2;2;Khrabrovo Airport;309
RSW;KRSW;America/New_York;-5;-5;-4;Southwest Florida International Airport;310
ORF;KORF;America/New_York;-5;-5;-4;Norfolk International Airport;311
ONT;KONT;America/Los_Angeles;-8;-8;-7;Ontario International Airport;312
BOJ;LBBG;Europe/Sofia;2;2;3;Burgas Airport;313
NLU;MMSM;America/Mexico_City;-6;-6;-6;Felipe Angeles International Airport;314
OAK;KOAK;America/Los_Angeles;-8;-8;-7;Oakland International Airport;315
YWG;CYWG;America/Winnipeg;-6;-6;-5;Winnipeg J. A. Richardson International Airport;316
FNC;LPMA;Atlantic/Madeira;0;0;1;Madeira Airport;317
CNF;SBCF;America/Sao_Paulo;-3;-3;-3;Belo Horizonte;318
MED;OEMA;Asia/Riyadh;3;3;3;Prince Mohammad bin Abdulaziz Airport;319
TZX;LTCG;Europe/Istanbul;3;3;3;Trabzon Airport;320
CBR;YSCB;Australia/Sydney;11;10;10;Canberra International Airport;321
PRN;BKPR;Europe/Belgrade;1;1;2;Pristina International Airport (PIA);322
BDL;KBDL;America/New_York;-5;-5;-4;Bradley International Airport;323
WLG;NZWN;Pacific/Auckland;13;12;12;Wellington International Airport;324
REC;SBRF;America/Recife;-3;-3;-3;Recife/Guararapes–Gilberto Freyre International Airport;325
SSA;SBSV;America/Bahia;-3;-3;-3;Salvador International Airport, Deputado Luís Eduardo Magalhães;326
LBG;LFPB;Europe/Paris;1;1;2;Paris–Le Bourget Airport;327
DUR;FALE;Africa/Johannesburg;2;2;2;King Shaka International Airport;328
BUF;KBUF;America/New_York;-5;-5;-4;Buffalo Niagara International Airport;329
ABV;DNAA;Africa/Lagos;1;1;1;Nnamdi Azikiwe International Airport;330
VRN;LIPX;Europe/Rome;1;1;2;Verona Villafranca Airport;331
WUH;ZHHH;Asia/Shanghai;8;8;8;Wuhan Tianhe International Airport;332
BLL;EKBI;Europe/Copenhagen;1;1;2;Billund Lufthavn;333
CSX;ZGHA;Asia/Shanghai;8;8;8;Changsha Huanghua International Airport;334
GRR;KGRR;America/Detroit;-5;-5;-4;Gerald R. Ford International Airport;335
SXM;TNCM;America/Lower_Princes;-4;-4;-4;Princess Juliana International Airport;336
OMA;KOMA;America/Chicago;-6;-6;-5;Eppley Airfield;337
JTR;LGSR;Europe/Athens;2;2;3;Santorini Airport;338
HAK;ZJHK;Asia/Shanghai;8;8;8;Meilan International Airport;339
AMD;VAAH;Asia/Kolkata;5,5;5,5;5,5;Sardar Vallabhbhai Patel International Airport;340
BKI;WBKK;Asia/Kuching;8;8;8;Kota Kinabalu International Airport;341
ABZ;EGPD;Europe/London;0;0;1;Aberdeen International Airport;342
JMK;LGMK;Europe/Athens;2;2;3;Mikonos Island, Mikonos Airport;343
PNH;VDPP;Asia/Phnom_Penh;7;7;7;Phnom Penh International Airport;344
URC;ZWWW;Asia/Urumqi;6;6;6;Ürümqi Diwopu International Airport;345
TRD;ENVA;Europe/Oslo;1;1;2;Trondheim Airport, Værnes;346
TLL;EETN;Europe/Tallinn;2;2;3;Tallinn Airport;347
NAS;MYNN;America/Nassau;-5;-5;-4;Lynden Pindling International Airport;348
SAV;KSAV;America/New_York;-5;-5;-4;Savannah International Airport;349
CIA;LIRA;Europe/Rome;1;1;2;Roma Ciampino Airport;350
CWB;SBCT;America/Sao_Paulo;-3;-3;-3;Curitiba Airport;351
BGW;ORBI;Asia/Baghdad;3;3;3;Baghdad International Airport;352
PFO;LCPH;Asia/Nicosia;2;2;3;Paphos International Airport;353
CUZ;SPZO;America/Lima;-5;-5;-5;Alejandro Velasco Astete International Airport;354
ISB;OPIS;Asia/Karachi;5;5;5;Islamabad International Airport;355
