code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
AVB;LIPA;Europe/Rome;1;1;2;Aviano Airport;4285
BBL;YLLE;Australia/Brisbane;10;10;10;Ballera Airport;4286
BEO;YLMQ;Australia/Sydney;11;10;10;Aeropelican Airport;4287
BKF;;;;;;;4288
BUT;VQBT;Asia/Thimphu;6;6;6;Bathpalathang Airport;4289
BVJ;USDB;Asia/Yekaterinburg;5;5;5;Bovanenko Airport;4290
BYC;SLYA;America/La_Paz;-4;-4;-4;Yacuiba Airport;4291
CCV;NVSF;Pacific/Efate;11;11;11;Craig Cove Airport;4292
CDQ;YCRY;Australia/Brisbane;10;10;10;Croydon Airport;4293
CHX;MPCH;America/Panama;-5;-5;-5;Changuinola/Captain Manuel Nino Airport;4294
CLP;PFCL;America/Anchorage;-9;-9;-8;Clarks Point Airport;4295
CML;YCMW;Australia/Brisbane;10;10;10;Camooweal Airport;4296
COL;EGEL;Europe/London;0;0;1;Coll Airport;4297
CRX;KCRX;America/Chicago;-6;-6;-5;Roscoe Turner Airport;4298
CXY;MYCC;America/Nassau;-5;-5;-4;Cat Cay Airport;4299
DLS;KDLS;America/Los_Angeles;-8;-8;-7;The Dalles Municipal Airport;4300
DLZ;ZMDZ;Asia/Ulaanbaatar;8;8;8;Dalanzadgad Airport;4301
DOG;HSDN;Africa/Khartoum;2;2;2;Dongola Airport;4302
DSY;;;;;;;4303
EGX;PAII;America/Anchorage;-9;-9;-8;Egegik Airport;4304
EKS;UHSK;Asia/Sakhalin;11;11;11;Shakhtersk;4305
EKT;ESSU;Europe/Stockholm;1;1;2;Eskilstuna Airport;4306
EXM;YEXM;Australia/Perth;8;8;8;Exmouth Gulf Airport;4307
FEP;KFEP;America/Chicago;-6;-6;-5;Albertus Airport;4308
FFA;KFFA;America/New_York;-5;-5;-4;First Flight Airport;4309
FFM;KFFM;America/Chicago;-6;-6;-5;Fergus Falls Municipal/Einar Mickelson Field;4310
FLZ;WIMS;Asia/Jakarta;7;7;7;Dr. Ferdinand Lumban Tobing Airport;4311
GBG;KGBG;America/Chicago;-6;-6;-5;Galesburg Municipal Airport;4312
GJA;MHNJ;America/Tegucigalpa;-6;-6;-6;Guanaja;4313
GLU;VQGP;Asia/Thimphu;6;6;6;Gelephu Airport;4314
GUH;YGDH;Australia/Sydney;11;10;10;Gunnedah Airport;4315
GWD;OPGD;Asia/Karachi;5;5;5;Gwadar International Airport;4316
GYL;YARG;Australia/Perth;8;8;8;Argyle Airport;4317
HEK;ZYHE;Asia/Shanghai;8;8;8;Heihe Aihui Airport;4318
HLG;KHLG;America/New_York;-5;-5;-4;Wheeling Ohio County Airport;4319
HOP;KHOP;America/Chicago;-6;-6;-5;Fort Campbell U. S. Army Airfield;4320
HYL;;;;;;;4321
IAB;KIAB;America/Chicago;-6;-6;-5;Mc Connell Air Force Base;4322
IDP;KIDP;America/Chicago;-6;-6;-5;Independence Municipal Airport;4323
